EST Time,kw
01-01-2018 00:15,68.736
01-01-2018 00:30,32.512
01-01-2018 00:45,79.104
01-01-2018 01:00,94.848
01-01-2018 01:15,91.904
01-01-2018 01:30,74.492
01-01-2018 01:45,67.84
01-01-2018 02:00,68.48
01-01-2018 02:15,66.944
01-01-2018 02:30,23.424
01-01-2018 02:45,32.38
01-01-2018 03:00,89.34
01-01-2018 03:15,73.6
01-01-2018 03:30,49.28
01-01-2018 03:45,64.764
01-01-2018 04:00,92.672
01-01-2018 04:15,63.868
01-01-2018 04:30,39.296
01-01-2018 04:45,71.42
01-01-2018 05:00,94.72
01-01-2018 05:15,92.544
01-01-2018 05:30,80.128
01-01-2018 05:45,66.684
01-01-2018 06:00,69.888
01-01-2018 06:15,67.328
01-01-2018 06:30,42.236
01-01-2018 06:45,22.144
01-01-2018 07:00,85.248
01-01-2018 07:15,90.88
01-01-2018 07:30,55.04
01-01-2018 07:45,45.952
01-01-2018 08:00,87.808
01-01-2018 08:15,83.584
01-01-2018 08:30,45.312
01-01-2018 08:45,46.076
01-01-2018 09:00,96
01-01-2018 09:15,92.928
01-01-2018 09:30,88.188
01-01-2018 09:45,75.52
01-01-2018 10:00,71.168
01-01-2018 10:15,67.2
01-01-2018 10:30,68.224
01-01-2018 10:45,49.408
01-01-2018 11:00,39.932
01-01-2018 11:15,85.12
01-01-2018 11:30,95.232
01-01-2018 11:45,79.232
01-01-2018 12:00,50.556
01-01-2018 12:15,78.72
01-01-2018 12:30,94.336
01-01-2018 12:45,76.288
01-01-2018 13:00,61.952
01-01-2018 13:15,84.736
01-01-2018 13:30,94.72
01-01-2018 13:45,80.768
01-01-2018 14:00,97.024
01-01-2018 14:15,72.576
01-01-2018 14:30,67.968
01-01-2018 14:45,64.764
01-01-2018 15:00,71.552
01-01-2018 15:15,61.056
01-01-2018 15:30,53.248
01-01-2018 15:45,89.088
01-01-2018 16:00,95.616
01-01-2018 16:15,91.904
01-01-2018 16:30,62.848
01-01-2018 16:45,40.32
01-01-2018 17:00,97.92
01-01-2018 17:15,94.588
01-01-2018 17:30,97.28
01-01-2018 17:45,81.28
01-01-2018 18:00,97.152
01-01-2018 18:15,88.96
01-01-2018 18:30,67.584
01-01-2018 18:45,65.28
01-01-2018 19:00,47.74
01-01-2018 19:15,22.4
01-01-2018 19:30,86.784
01-01-2018 19:45,90.368
01-01-2018 20:00,60.928
01-01-2018 20:15,47.104
01-01-2018 20:30,94.976
01-01-2018 20:45,80.256
01-01-2018 21:00,52.604
01-01-2018 21:15,58.752
01-01-2018 21:30,95.36
01-01-2018 21:45,77.184
01-01-2018 22:00,81.408
01-01-2018 22:15,66.304
01-01-2018 22:30,67.584
01-01-2018 22:45,65.28
01-01-2018 23:00,26.88
01-01-2018 23:15,35.456
01-01-2018 23:30,89.98
01-01-2018 23:45,78.208
02-01-2018 00:00,51.196
02-01-2018 00:15,58.496
02-01-2018 00:30,97.28
02-01-2018 00:45,63.232
02-01-2018 01:00,44.544
02-01-2018 01:15,73.472
02-01-2018 01:30,95.744
02-01-2018 01:45,87.424
02-01-2018 02:00,65.792
02-01-2018 02:15,66.304
02-01-2018 02:30,65.792
02-01-2018 02:45,65.532
02-01-2018 03:00,40.96
02-01-2018 03:15,48.384
02-01-2018 03:30,92.544
02-01-2018 03:45,89.088
02-01-2018 04:00,50.944
02-01-2018 04:15,37.76
02-01-2018 04:30,74.624
02-01-2018 04:45,91.644
02-01-2018 05:00,52.864
02-01-2018 05:15,60.156
02-01-2018 05:30,99.2
02-01-2018 05:45,98.688
02-01-2018 06:00,88.188
02-01-2018 06:15,98.3
02-01-2018 06:30,97.664
02-01-2018 06:45,100.224
02-01-2018 07:00,98.56
02-01-2018 07:15,60.672
02-01-2018 07:30,81.152
02-01-2018 07:45,97.788
02-01-2018 08:00,90.88
02-01-2018 08:15,56.704
02-01-2018 08:30,94.208
02-01-2018 08:45,85.632
02-01-2018 09:00,103.68
02-01-2018 09:15,84.096
02-01-2018 09:30,79.488
02-01-2018 09:45,105.6
02-01-2018 10:00,93.948
02-01-2018 10:15,99.072
02-01-2018 10:30,99.968
02-01-2018 10:45,98.432
02-01-2018 11:00,104.832
02-01-2018 11:15,91.776
02-01-2018 11:30,34.304
02-01-2018 11:45,54.144
02-01-2018 12:00,86.144
02-01-2018 12:15,104.32
02-01-2018 12:30,100.604
02-01-2018 12:45,49.024
02-01-2018 13:00,87.424
02-01-2018 13:15,100.992
02-01-2018 13:30,104.7
02-01-2018 13:45,99.968
02-01-2018 14:00,85.888
02-01-2018 14:15,103.808
02-01-2018 14:30,99.452
02-01-2018 14:45,99.072
