EST Time,kw,
01-01-2018 00:15,1.312,
01-01-2018 00:30,1.376,
01-01-2018 00:45,1.436,
01-01-2018 01:00,1.344,
01-01-2018 01:15,1.408,
01-01-2018 01:30,1.344,
01-01-2018 01:45,1.312,
01-01-2018 02:00,1.504,
01-01-2018 02:15,1.504,
01-01-2018 02:30,1.408,
01-01-2018 02:45,1.504,
01-01-2018 03:00,1.436,
01-01-2018 03:15,1.436,
01-01-2018 03:30,1.504,
01-01-2018 03:45,1.472,
01-01-2018 04:00,1.436,
01-01-2018 04:15,1.408,
01-01-2018 04:30,1.436,
01-01-2018 04:45,2.912,
01-01-2018 05:00,1.408,
01-01-2018 05:15,1.28,60 percentile
01-01-2018 05:30,0.576,
01-01-2018 05:45,0.028,
01-01-2018 06:00,0.028,
01-01-2018 06:15,0,
01-01-2018 06:30,0,
01-01-2018 06:45,0,
01-01-2018 07:00,0,
01-01-2018 07:15,0,
01-01-2018 07:30,0,
01-01-2018 07:45,0,
01-01-2018 08:00,0,
01-01-2018 08:15,0,
01-01-2018 08:30,0,
01-01-2018 08:45,0,
01-01-2018 09:00,0,
01-01-2018 09:15,0,
01-01-2018 09:30,0,
01-01-2018 09:45,0,
01-01-2018 10:00,0,
01-01-2018 10:15,0,
01-01-2018 10:30,0,
01-01-2018 10:45,0,
01-01-2018 11:00,0,
01-01-2018 11:15,0,
01-01-2018 11:30,0,
01-01-2018 11:45,0,
01-01-2018 12:00,0,
01-01-2018 12:15,0,
01-01-2018 12:30,0,
01-01-2018 12:45,0,
01-01-2018 13:00,0,
01-01-2018 13:15,0,
01-01-2018 13:30,0,
01-01-2018 13:45,0,
01-01-2018 14:00,0,
01-01-2018 14:15,0,
01-01-2018 14:30,0,
01-01-2018 14:45,0,
01-01-2018 15:00,0,
01-01-2018 15:15,0,
01-01-2018 15:30,0,
01-01-2018 15:45,0,
01-01-2018 16:00,0,
01-01-2018 16:15,0,
01-01-2018 16:30,0,
01-01-2018 16:45,0,
01-01-2018 17:00,0,
01-01-2018 17:15,0,
01-01-2018 17:30,0,
01-01-2018 17:45,0,
01-01-2018 18:00,0,
01-01-2018 18:15,0,
01-01-2018 18:30,0,
01-01-2018 18:45,0,
01-01-2018 19:00,0.028,
01-01-2018 19:15,0.092,
01-01-2018 19:30,0.32,
01-01-2018 19:45,1.02,
01-01-2018 20:00,1.376,
01-01-2018 20:15,1.436,
01-01-2018 20:30,1.436,
01-01-2018 20:45,1.344,
01-01-2018 21:00,1.376,
01-01-2018 21:15,2.176,
01-01-2018 21:30,1.984,
01-01-2018 21:45,1.408,
01-01-2018 22:00,1.408,
01-01-2018 22:15,1.436,
01-01-2018 22:30,1.472,
01-01-2018 22:45,1.504,
01-01-2018 23:00,1.472,
01-01-2018 23:15,1.504,
01-01-2018 23:30,1.408,
01-01-2018 23:45,1.472,
02-01-2018 00:00,1.532,
02-01-2018 00:15,1.408,
02-01-2018 00:30,1.532,
02-01-2018 00:45,1.436,
02-01-2018 01:00,1.408,
02-01-2018 01:15,1.568,
02-01-2018 01:30,2.016,
02-01-2018 01:45,2.944,
02-01-2018 02:00,1.472,
02-01-2018 02:15,1.344,
02-01-2018 02:30,1.376,
02-01-2018 02:45,1.472,
02-01-2018 03:00,1.376,
02-01-2018 03:15,1.408,
02-01-2018 03:30,1.344,
02-01-2018 03:45,1.344,
02-01-2018 04:00,1.472,
02-01-2018 04:15,1.344,
02-01-2018 04:30,1.376,
02-01-2018 04:45,1.436,
02-01-2018 05:00,1.312,
02-01-2018 05:15,0.796,
02-01-2018 05:30,0.48,
02-01-2018 05:45,0.736,
02-01-2018 06:00,0,
02-01-2018 06:15,0,
02-01-2018 06:30,0,
02-01-2018 06:45,0,
02-01-2018 07:00,0,
02-01-2018 07:15,0,
02-01-2018 07:30,0,
02-01-2018 07:45,0,
02-01-2018 08:00,0,
02-01-2018 08:15,0,
02-01-2018 08:30,0,
02-01-2018 08:45,0,
02-01-2018 09:00,0,
02-01-2018 09:15,0,
02-01-2018 09:30,0,
02-01-2018 09:45,0,
02-01-2018 10:00,0,
02-01-2018 10:15,0,
02-01-2018 10:30,0,
02-01-2018 10:45,0,
02-01-2018 11:00,0,
02-01-2018 11:15,0,
02-01-2018 11:30,0,
02-01-2018 11:45,0,
02-01-2018 12:00,0,
02-01-2018 12:15,0,
02-01-2018 12:30,0,
02-01-2018 12:45,0,
02-01-2018 13:00,0,
02-01-2018 13:15,0,
02-01-2018 13:30,0,
02-01-2018 13:45,0,
02-01-2018 14:00,0,
02-01-2018 14:15,0,
02-01-2018 14:30,0,
02-01-2018 14:45,0,
02-01-2018 15:00,0,
02-01-2018 15:15,0,
